time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2010-06-23 09:30:00-04:00,DiversifiedLeverage,UPRO,buy,market,fill,1,gtc,0.0,1,stock,1.9166669845581055,16,0.15333335876464843
2010-06-29 09:30:00-04:00,DiversifiedLeverage,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-29 09:30:00-04:00,DiversifiedLeverage,UPRO,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-29 09:30:00-04:00,DiversifiedLeverage,UDOW,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-29 09:30:00-04:00,DiversifiedLeverage,TMF,sell,market,new,1,gtc,0.0,1,stock,,,
2010-06-29 09:30:00-04:00,DiversifiedLeverage,UGL,sell,market,new,1,gtc,0.0,1,stock,,,
2010-06-29 09:30:00-04:00,DiversifiedLeverage,DIG,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-29 09:30:00-04:00,DiversifiedLeverage,UGL,sell,market,fill,1,gtc,0.0,1,stock,55.290000915527344,13,3.5938500595092773
2010-06-29 09:30:00-04:00,DiversifiedLeverage,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,0.4341149926185608,2487,5.398219933211804
2010-06-29 09:30:00-04:00,DiversifiedLeverage,TMF,sell,market,fill,1,gtc,0.0,1,stock,10.84749984741211,279,15.132262287139893
2010-06-29 09:30:00-04:00,DiversifiedLeverage,DIG,buy,market,fill,1,gtc,0.0,1,stock,33.099998474121094,29,4.799499778747559
2010-06-29 09:30:00-04:00,DiversifiedLeverage,UPRO,buy,market,fill,1,gtc,0.0,1,stock,1.7302780151367188,594,5.138925704956055
2010-06-29 09:30:00-04:00,DiversifiedLeverage,UDOW,buy,market,fill,1,gtc,0.0,1,stock,3.2445828914642334,128,2.0765330505371096
2010-07-06 09:30:00-04:00,DiversifiedLeverage,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-06 09:30:00-04:00,DiversifiedLeverage,UPRO,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-06 09:30:00-04:00,DiversifiedLeverage,UDOW,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-06 09:30:00-04:00,DiversifiedLeverage,TMF,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-06 09:30:00-04:00,DiversifiedLeverage,UGL,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-06 09:30:00-04:00,DiversifiedLeverage,DIG,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-06 09:30:00-04:00,DiversifiedLeverage,TMF,sell,market,fill,1,gtc,0.0,1,stock,11.130000114440918,299,16.639350171089173
2010-07-06 09:30:00-04:00,DiversifiedLeverage,DIG,buy,market,fill,1,gtc,0.0,1,stock,32.0,9,1.44
2010-07-06 09:30:00-04:00,DiversifiedLeverage,UPRO,buy,market,fill,1,gtc,0.0,1,stock,1.608610987663269,686,5.517535687685013
2010-07-06 09:30:00-04:00,DiversifiedLeverage,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,0.39333298802375793,4792,9.424258393049241
2010-07-06 09:30:00-04:00,DiversifiedLeverage,UDOW,buy,market,fill,1,gtc,0.0,1,stock,3.0250000953674316,135,2.0418750643730164
2010-07-06 09:30:00-04:00,DiversifiedLeverage,UGL,sell,market,fill,1,gtc,0.0,1,stock,52.099998474121094,1,0.26049999237060545
2010-07-12 09:30:00-04:00,DiversifiedLeverage,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-12 09:30:00-04:00,DiversifiedLeverage,UPRO,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-12 09:30:00-04:00,DiversifiedLeverage,UDOW,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-12 09:30:00-04:00,DiversifiedLeverage,TMF,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-12 09:30:00-04:00,DiversifiedLeverage,UGL,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-12 09:30:00-04:00,DiversifiedLeverage,DIG,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-12 09:30:00-04:00,DiversifiedLeverage,UPRO,sell,market,fill,1,gtc,0.0,1,stock,1.7940280437469482,660,5.920292544364929
2010-07-12 09:30:00-04:00,DiversifiedLeverage,TMF,buy,market,fill,1,gtc,0.0,1,stock,10.582500457763672,242,12.804825553894043
2010-07-12 09:30:00-04:00,DiversifiedLeverage,DIG,sell,market,fill,1,gtc,0.0,1,stock,34.400001525878906,14,2.4080001068115235
2010-07-12 09:30:00-04:00,DiversifiedLeverage,UGL,buy,market,fill,1,gtc,0.0,1,stock,52.220001220703125,10,2.6110000610351562
2010-07-12 09:30:00-04:00,DiversifiedLeverage,UDOW,sell,market,fill,1,gtc,0.0,1,stock,3.384166955947876,184,3.113433599472046
2010-07-12 09:30:00-04:00,DiversifiedLeverage,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,0.4341149926185608,2286,4.96193436563015
2010-07-16 09:30:00-04:00,DiversifiedLeverage,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-16 09:30:00-04:00,DiversifiedLeverage,UPRO,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-16 09:30:00-04:00,DiversifiedLeverage,UDOW,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-16 09:30:00-04:00,DiversifiedLeverage,TMF,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-16 09:30:00-04:00,DiversifiedLeverage,UGL,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-16 09:30:00-04:00,DiversifiedLeverage,DIG,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-16 09:30:00-04:00,DiversifiedLeverage,TMF,buy,market,fill,1,gtc,0.0,1,stock,10.914999961853027,84,4.584299983978272
2010-07-16 09:30:00-04:00,DiversifiedLeverage,UDOW,sell,market,fill,1,gtc,0.0,1,stock,3.507499933242798,53,0.9294874823093414
